Reg,P1,P2
Spok,0.03472017538021458,0.018323103273573848
Spok,0.020836415643339743,0.011367559303644524
Spok,0.01798168022958682,0.00774855525415733
Spok,0.027620691996546806,0.03748557128030031
Spok,0.04552583096061026,0.03702970598535256
Spok,0.04436458758311927,0.0339021701665588
Spok,0.02539900189735168,0.01686889140451857
Spok,0.028131147540983607,0.04222950819672131
Spok,0.03820005056459627,0.0277141548327989
Spok,0.043276778293610485,0.03264857241199829
Spok,0.02494021182097711,0.016037299784963523
Spok,0.02642813579995934,0.023378735515348647
Spok,0.017659822397235504,0.01862418129947362
Spok,0.021652832912306026,0.014976542764345001
Spok,0.028354813273180884,0.027895913856177044
Spok,0.04536182292626849,0.01629368501673434
Spok,0.028329387003420154,0.004735595895816891
Spok,0.03372860539111823,0.011894073792097911
Spok,0.03655082049042241,0.018206776065389656
Spok,0.034141396136449724,0.03464049375013926
Spok,0.02962134119980673,0.008712458357704143
Spok,0.018783291281188674,0.008753076036507492
Spok,0.025804965151776972,0.02273774552157134
Spok,0.0357239452965562,0.033587245698324573
Acad,0.004892274185443716,2.9766246549988877e-4
Acad,0.005007172173423396,8.516197461705934e-4
Acad,0.0033296693320055393,7.163328438608911e-4
Acad,0.0029352891546480485,1.8615409878766257e-4
Acad,0.0032538815257571792,2.734202061153779e-4
Acad,0.005217699652997645,9.182223461563317e-4
Misc,0.003760378782680299,0.002584688579336215
Misc,0.006083410929406972,0.01097014491066752
Misc,0.018352357246247827,0.0027326782994607905
Misc,0.0038711282684597156,0.002554118845085694
Misc,0.01849248147177275,0.0036841979839382314
Misc,0.013878834260657332,0.003964396274156962
Misc,0.003190511383095697,0.0013519116030066515
Fiction,0.046003335186214564,0.025836575875486382
Fiction,0.020354680072376247,0.008340587669603343
Fiction,0.02542319146499108,0.013197695764403645
Misc,0.021172760260652047,2.931117860510101e-4
Misc,0.0034337659177997356,0.0030172167511745398
Misc,0.0035489431523833227,0.010503949927638432
Misc,0.040625,0.011554783950617284
Misc,0.02466761307261376,0.016562104074124957
Misc,0.00811344049352006,0.005028058494972327
News,0.00855259353495634,0.002408488983981958
News,0.008296359197537417,0.001970066871881966
News,0.0025940025699840276,0.0011600955937984124
News,0.009855055186322136,0.002920752242720472
News,0.007655129878343542,0.0018983388554467912
News,0.004672495623371809,0.001006685867358088
News,0.0074717255822695314,0.001271267344278141
News,0.0060559206287849505,0.0023929169657812875
News,0.010852874372180812,0.003292385126416925
News,0.01385414871895417,0.001633860723770594
News,0.004385911384758081,7.627671973492314e-4
News,0.005121143670513971,0.002661138100690039
News,0.005738499038698428,0.001812491137567919
News,0.010683892642318097,0.0033595593048676557
News,0.006300540924489127,8.639766145776418e-4
News,0.012773221363261783,0.002941737068409752
NonacProse,0.0035404838750837777,9.93645664183224e-4
NonacProse,0.0016306752343832297,0.001130938586326767
NonacProse,0.00276069181089879,0.0011321824721346953
NonacProse,0.004966373095248662,0.008940278455784755
NonacProse,0.005412209845862608,0.0011777366823229913
NonacProse,0.008993417956847407,0.003305244420787917
Misc,0.014794221183968307,0.004861432575096978
