Текст,FOG,PL,FP,Jasnopis,FrequencyQ
Text1,0,0,0,0.2,4.33
Text2,0,0,0.11,0.2,3.56
Text3,0.5,0.18,0.09,0.2,4.02
Text4,0.5,0.18,0.31,0,4.15
Text5,0.5,0.18,0.44,0,4.11
Text6,0.5,0.18,0.3,0.2,3.59
Text7,0.5,0.18,0.16,0.4,4.21
Text8,0.5,0.18,0.41,0.2,4.52
Text9,0.5,0.18,0.34,0.4,4.35
Text10,0.67,0.36,0.18,0.4,4.34
Text11,0.67,0.36,0.18,0.4,4.9
Text12,0.67,0.36,0.24,0.4,4.45
Text13,0.83,0.55,0.5,0.4,4.4
Text14,0.83,0.55,0.52,0.4,3.93
Text15,0.83,0.55,0.53,0.4,4.15
Text16,0.83,0.55,0.7,0.4,4.29
Text17,1,1,0.4,0.2,4.21
Text18,1,1,0.14,1,5.24
Text19,1,1,0.67,0.6,4.46
Text20,1,1,1,0.6,4.87
