isSuffix,Class,Number,Animacy,word
no,pron,sg,hum,сэ
no,pron,sg,hum,о
no,pron,sg,hum,ар
no,pron,sg,nhum,ар
no,pron,sg,inanim,ар
no,pron,pl,hum,тэ
no,pron,pl,hum,шъо
no,pron,pl,hum,ахэр
no,pron,pl,nhum,ахэр
no,pron,pl,inanim,ахэр
yes,pron,sg,hum,мо
no,pron,sg,nhum,мо
no,pron,sg,inanim,мо
no,pron,pl,hum,мохэр
no,pron,pl,nhum,мохэр
no,pron,pl,inanim,мохэр
yes,pron,sg,hum,мы
no,pron,sg,nhum,мы
no,pron,sg,inanim,мы
no,pron,pl,hum,мыхэр
no,pron,pl,nhum,мыхэр
no,pron,pl,inanim,мыхэр
yes,propern,sg,hum,Аслъан
yes,propern,sg,hum,Анзор
yes,propern,sg,hum,Иванов
yes,propern,sg,hum,Бэла
yes,propern,sg,hum,Суанда
yes,propern,sg,nhum,Джекэ
no,propern,sg,inanim,Лабэ
no,propern,sg,inanim,Мыекъуапэ
no,propern,pl,hum,Аслъанхэр
no,propern,pl,hum,Анзорхэр
no,propern,pl,hum,Ивановхэр
no,propern,pl,hum,Бэлахэр
no,propern,pl,hum,Суандахэр
no,propern,pl,nhum,Джекэхэр
yes,kin,sg,hum,сиlахьыл
yes,kin,sg,hum,тянэ
yes,kin,sg,hum,тятэ
yes,kin,sg,hum,шынахьыжъ
yes,kin,sg,hum,шыпхъу
no,kin,sg,hum,къо
no,kin,sg,hum,ипшъашъ
no,kin,sg,hum,сабый
no,kin,pl,hum,сиlахьылхэр
no,kin,pl,hum,тянэхэр
no,kin,pl,hum,тятэхэр
no,kin,pl,hum,шынахьыжъхэр
no,kin,pl,hum,шыпхъухэр
no,kin,pl,hum,къохэр
no,kin,pl,hum,ипшъашъхэр
no,kin,pl,hum,сабыйхэр
no,commonn,sg,hum,шъонтырпау
no,commonn,sg,hum,музыкант
no,commonn,sg,hum,хирург
no,commonn,sg,hum,врач
no,commonn,sg,hum,кIэлэегъадж
no,commonn,sg,nhum,хьа
no,commonn,sg,nhum,псычэт
no,commonn,sg,nhum,ячэм
no,commonn,sg,inanim,мыIэрысэ
no,commonn,sg,inanim,помидор
no,commonn,sg,inanim,щэ
no,commonn,sg,inanim,пшахъо
no,commonn,sg,inanim,тхылъ
no,commonn,pl,hum,шъонтырпаухэр
no,commonn,pl,hum,музыкантхэр
no,commonn,pl,hum,хирургхэр
no,commonn,pl,hum,врачхэр
no,commonn,pl,hum,кIэлэегъаджхэр
no,commonn,pl,nhum,хьахэр
no,commonn,pl,nhum,псычэтхэр
no,commonn,pl,nhum,ячэмхэр
no,commonn,pl,inanim,мыIэрысэхэр
no,commonn,pl,inanim,помидорхэр
no,commonn,pl,inanim,тхылъхэр
